Date,State,FIPS,Total Cases,Total Deaths
2020-03-04,New Jersey,34,1,0
2020-03-05,New Jersey,34,2,0
2020-03-06,New Jersey,34,4,0
2020-03-07,New Jersey,34,4,0
2020-03-08,New Jersey,34,6,0
2020-03-09,New Jersey,34,11,0
2020-03-10,New Jersey,34,15,1
2020-03-11,New Jersey,34,23,1
2020-03-12,New Jersey,34,29,1
2020-03-13,New Jersey,34,50,1
2020-03-14,New Jersey,34,75,2
2020-03-15,New Jersey,34,98,2
2020-03-16,New Jersey,34,176,3
2020-03-17,New Jersey,34,268,3
2020-03-18,New Jersey,34,427,5
2020-03-19,New Jersey,34,735,9
2020-03-20,New Jersey,34,896,11
2020-03-21,New Jersey,34,1336,16
2020-03-22,New Jersey,34,1914,20
2020-03-23,New Jersey,34,2844,27
2020-03-24,New Jersey,34,3675,44
2020-03-25,New Jersey,34,4402,62
2020-03-26,New Jersey,34,6876,82
2020-03-27,New Jersey,34,8825,108
2020-03-28,New Jersey,34,11124,140
2020-03-29,New Jersey,34,13386,161
2020-03-30,New Jersey,34,16636,199
2020-03-31,New Jersey,34,18696,267
2020-04-01,New Jersey,34,22255,355
2020-04-02,New Jersey,34,25590,539
2020-04-03,New Jersey,34,29895,647
2020-04-04,New Jersey,34,34124,847
2020-04-05,New Jersey,34,37505,917
2020-04-06,New Jersey,34,41090,1005
2020-04-07,New Jersey,34,44416,1232
2020-04-08,New Jersey,34,47437,1504
2020-04-09,New Jersey,34,51027,1700
2020-04-10,New Jersey,34,54588,1932
2020-04-11,New Jersey,34,58151,2183
2020-04-12,New Jersey,34,61850,2350
2020-04-13,New Jersey,34,64584,2443
2020-04-14,New Jersey,34,68824,2805
2020-04-15,New Jersey,34,71030,3156
2020-04-16,New Jersey,34,75317,3518
2020-04-17,New Jersey,34,78467,3840
2020-04-18,New Jersey,34,81420,4070
2020-04-19,New Jersey,34,85301,4202
2020-04-20,New Jersey,34,88806,4377
2020-04-21,New Jersey,34,92387,4753
2020-04-22,New Jersey,34,95865,5063
2020-04-23,New Jersey,34,99989,5368
2020-04-24,New Jersey,34,102196,5617
2020-04-25,New Jersey,34,105523,5863
2020-04-26,New Jersey,34,109038,5938
2020-04-27,New Jersey,34,111188,6044
2020-04-28,New Jersey,34,113856,6442
2020-04-29,New Jersey,34,116264,6770
2020-04-30,New Jersey,34,118652,7228
2020-05-01,New Jersey,34,121190,7538
2020-05-02,New Jersey,34,123717,7742
2020-05-03,New Jersey,34,126744,7871
2020-05-04,New Jersey,34,128269,7910
2020-05-05,New Jersey,34,130593,8244
2020-05-06,New Jersey,34,131890,8549
2020-05-07,New Jersey,34,133635,8801
2020-05-08,New Jersey,34,135454,8952
2020-05-09,New Jersey,34,137085,9116
2020-05-10,New Jersey,34,138532,9255
2020-05-11,New Jersey,34,139945,9310
2020-05-12,New Jersey,34,140743,9508
2020-05-13,New Jersey,34,141560,9702
2020-05-14,New Jersey,34,142704,9946
2020-05-15,New Jersey,34,143905,10138
2020-05-16,New Jersey,34,145089,10249
2020-05-17,New Jersey,34,146334,10356
2020-05-18,New Jersey,34,148039,10435
2020-05-19,New Jersey,34,149013,10586
2020-05-20,New Jersey,34,150399,10747
2020-05-21,New Jersey,34,151472,10843
2020-05-22,New Jersey,34,152719,10985
2020-05-23,New Jersey,34,153104,11081
2020-05-24,New Jersey,34,154154,11133
2020-05-25,New Jersey,34,155092,11144
2020-05-26,New Jersey,34,155764,11191
2020-05-27,New Jersey,34,156628,11339
2020-05-28,New Jersey,34,157815,11401
2020-05-29,New Jersey,34,158844,11531
2020-05-30,New Jersey,34,159608,11634
2020-05-31,New Jersey,34,160445,11698
2020-06-01,New Jersey,34,160918,11721
2020-06-02,New Jersey,34,161545,11770
2020-06-03,New Jersey,34,162068,11880
2020-06-04,New Jersey,34,162530,11970
2020-06-05,New Jersey,34,163336,12049
2020-06-06,New Jersey,34,163893,12106
2020-06-07,New Jersey,34,164164,12176
2020-06-08,New Jersey,34,164497,12214
2020-06-09,New Jersey,34,164796,12303
2020-06-10,New Jersey,34,165346,12377
2020-06-11,New Jersey,34,165816,12443
2020-06-12,New Jersey,34,166164,12489
2020-06-13,New Jersey,34,166605,12589
2020-06-14,New Jersey,34,166881,12625
2020-06-15,New Jersey,34,167103,12676
2020-06-16,New Jersey,34,167426,12727
2020-06-17,New Jersey,34,167703,12769
2020-06-18,New Jersey,34,168107,12800
2020-06-19,New Jersey,34,168496,12835
2020-06-20,New Jersey,34,168834,12857
2020-06-21,New Jersey,34,169142,12870
2020-06-22,New Jersey,34,169415,12895
2020-06-23,New Jersey,34,169734,12949
2020-06-24,New Jersey,34,169892,12995
2020-06-25,New Jersey,34,172050,14872
2020-06-26,New Jersey,34,172438,14914
2020-06-27,New Jersey,34,172727,14948
2020-06-28,New Jersey,34,173036,14975
2020-06-29,New Jersey,34,173126,14992
2020-06-30,New Jersey,34,173521,15035
2020-07-01,New Jersey,34,173782,15078
2020-07-02,New Jersey,34,174212,15107
2020-07-03,New Jersey,34,174598,15164
2020-07-04,New Jersey,34,174889,15189
2020-07-05,New Jersey,34,175258,15211
2020-07-06,New Jersey,34,175467,15229
2020-07-07,New Jersey,34,175734,15281
2020-07-08,New Jersey,34,175986,15423
2020-07-09,New Jersey,34,176217,15448
2020-07-10,New Jersey,34,176575,15479
2020-07-11,New Jersey,34,176906,15525
2020-07-12,New Jersey,34,177245,15525
2020-07-13,New Jersey,34,177469,15560
2020-07-14,New Jersey,34,177862,15582
2020-07-15,New Jersey,34,178252,15634
2020-07-16,New Jersey,34,178475,15665
2020-07-17,New Jersey,34,178525,15684
2020-07-18,New Jersey,34,178788,15699
2020-07-19,New Jersey,34,178757,15706
2020-07-20,New Jersey,34,178937,15715
2020-07-21,New Jersey,34,179230,15737
2020-07-22,New Jersey,34,179565,15707
2020-07-23,New Jersey,34,179807,15730
2020-07-24,New Jersey,34,180265,15765
2020-07-25,New Jersey,34,180778,15776
2020-07-26,New Jersey,34,181283,15787
2020-07-27,New Jersey,34,181732,15804
2020-07-28,New Jersey,34,182215,15825
2020-07-29,New Jersey,34,182475,15798
2020-07-30,New Jersey,34,182845,15809
2020-07-31,New Jersey,34,183535,15819
2020-08-01,New Jersey,34,183904,15830
2020-08-02,New Jersey,34,184225,15836
2020-08-03,New Jersey,34,184489,15846
2020-08-04,New Jersey,34,184845,15857
2020-08-05,New Jersey,34,185180,15842
2020-08-06,New Jersey,34,185554,15849
2020-08-07,New Jersey,34,185914,15860
2020-08-08,New Jersey,34,186282,15869
2020-08-09,New Jersey,34,186626,15874
2020-08-10,New Jersey,34,186884,15878
2020-08-11,New Jersey,34,187328,15890
2020-08-12,New Jersey,34,187777,15885
2020-08-13,New Jersey,34,188433,15893
2020-08-14,New Jersey,34,189003,15903
2020-08-15,New Jersey,34,189281,15910
2020-08-16,New Jersey,34,189294,15912
2020-08-17,New Jersey,34,189606,15916
2020-08-18,New Jersey,34,189937,15925
2020-08-19,New Jersey,34,190256,15926
2020-08-20,New Jersey,34,190356,15932
2020-08-21,New Jersey,34,190646,15941
2020-08-22,New Jersey,34,191175,15943
2020-08-23,New Jersey,34,191323,15946
2020-08-24,New Jersey,34,191548,15946
2020-08-25,New Jersey,34,191850,15953
2020-08-26,New Jersey,34,192086,15914
2020-08-27,New Jersey,34,192393,15921
2020-08-28,New Jersey,34,192751,15930
2020-08-29,New Jersey,34,193100,15933
2020-08-30,New Jersey,34,193391,15937
2020-08-31,New Jersey,34,193740,15945
2020-09-01,New Jersey,34,194070,15950
2020-09-02,New Jersey,34,194378,15964
2020-09-03,New Jersey,34,194756,15971
2020-09-04,New Jersey,34,195205,15978
2020-09-05,New Jersey,34,195530,15985
2020-09-06,New Jersey,34,195841,15989
2020-09-07,New Jersey,34,196173,15991
2020-09-08,New Jersey,34,196450,15996
2020-09-09,New Jersey,34,196779,16009
2020-09-10,New Jersey,34,197203,16014
2020-09-11,New Jersey,34,197677,16023
2020-09-12,New Jersey,34,198126,16027
2020-09-13,New Jersey,34,198423,16031
2020-09-14,New Jersey,34,198757,16034
2020-09-15,New Jersey,34,199193,16043
2020-09-16,New Jersey,34,199583,16054
2020-09-17,New Jersey,34,200152,16057
2020-09-18,New Jersey,34,200639,16061
2020-09-19,New Jersey,34,201100,16064
2020-09-20,New Jersey,34,201553,16067
2020-09-21,New Jersey,34,201945,16069
2020-09-22,New Jersey,34,202371,16076
2020-09-23,New Jersey,34,202779,16082
2020-09-24,New Jersey,34,203343,16091
2020-09-25,New Jersey,34,203891,16097
2020-09-26,New Jersey,34,204641,16103
2020-09-27,New Jersey,34,205339,16106
2020-09-28,New Jersey,34,205898,16107
2020-09-29,New Jersey,34,206354,16117
2020-09-30,New Jersey,34,207062,16122
2020-10-01,New Jersey,34,207676,16127
2020-10-02,New Jersey,34,208416,16131
2020-10-03,New Jersey,34,209363,16135
2020-10-04,New Jersey,34,209989,16136
2020-10-05,New Jersey,34,210500,16138
2020-10-06,New Jersey,34,211129,16147
2020-10-07,New Jersey,34,211638,16152
2020-10-08,New Jersey,34,212936,16161
2020-10-09,New Jersey,34,213801,16164
2020-10-10,New Jersey,34,214665,16171
2020-10-11,New Jersey,34,215416,16174
2020-10-12,New Jersey,34,215885,16175
2020-10-13,New Jersey,34,216873,16182
2020-10-14,New Jersey,34,217812,16191
2020-10-15,New Jersey,34,218783,16197
2020-10-16,New Jersey,34,219593,16202
2020-10-17,New Jersey,34,220527,16204
2020-10-18,New Jersey,34,221802,16211
2020-10-19,New Jersey,34,222994,16214
2020-10-20,New Jersey,34,223982,16227
2020-10-21,New Jersey,34,225012,16245
2020-10-22,New Jersey,34,226174,16263
2020-10-23,New Jersey,34,227219,16273
2020-10-24,New Jersey,34,229128,16281
2020-10-25,New Jersey,34,230257,16285
2020-10-26,New Jersey,34,231473,16292
2020-10-27,New Jersey,34,233120,16306
2020-10-28,New Jersey,34,234790,16324
2020-10-29,New Jersey,34,236340,16332
2020-10-30,New Jersey,34,238316,16339
2020-10-31,New Jersey,34,239679,16350
2020-11-01,New Jersey,34,241422,16354
2020-11-02,New Jersey,34,242790,16357
2020-11-03,New Jersey,34,244614,16371
2020-11-04,New Jersey,34,247057,16391
2020-11-05,New Jersey,34,249019,16403
2020-11-06,New Jersey,34,251180,16416
